QuestionNumber,Category,MRCPPart,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,WhyA,WhyB,WhyC,WhyD
11,Cardiology,1,"Which cardiac condition is most associated with Osler nodes, Janeway lesions, and splinter haemorrhages?",Rheumatic heart disease,Infective endocarditis,Myocarditis,Pericarditis,B,"Osler nodes (tender pulp lesions), Janeway lesions (painless palmar/plantar macules), splinter haemorrhages, Roth spots and finger clubbing are the classic peripheral stigmata of infective endocarditis. They arise from immune-complex deposition (Osler, Roth) and septic microemboli (Janeway, splinters). Their presence in a febrile patient should prompt blood cultures and echocardiography.",Chronic rheumatic heart disease produces valve stenosis/regurgitation but not these embolic/immune peripheral signs.,,"Myocarditis presents with heart failure, chest pain and arrhythmia, not Osler/Janeway lesions.","Pericarditis causes pleuritic chest pain and a friction rub, without peripheral embolic stigmata."
12,Cardiology,1,A 30-year-old woman presents with pleuritic chest pain. ECG shows widespread saddle-shaped ST elevation with PR depression. What is the most likely diagnosis?,Acute MI,Pulmonary embolism,Acute pericarditis,Brugada syndrome,C,"Widespread, concave-upward ('saddle-shaped') ST elevation with PR-segment depression, not confined to a coronary territory, is the hallmark of acute pericarditis. The clinical picture — young patient, sharp pleuritic pain relieved by sitting forward, often a friction rub — supports it. The diffuse changes and PR depression distinguish it from the localised, convex ST elevation of STEMI.","Acute MI causes regional, convex ('tombstone') ST elevation with reciprocal depression and evolving Q waves, not diffuse saddle-shaped elevation.","PE more often shows sinus tachycardia, an S1Q3T3 pattern or right-heart strain, not widespread ST elevation with PR depression.",,"Brugada syndrome shows coved ST elevation confined to V1–V3 with a specific morphology, not diffuse elevation."
13,Cardiology,2,A patient with mechanical mitral valve replacement is planned for elective hip replacement. Current INR is 2.8. What is the recommended bridging strategy?,"Stop warfarin 5 days pre-op, no bridging","Stop warfarin 5 days pre-op, bridge with LMWH",Continue warfarin throughout,Switch to DOAC perioperatively,B,"A mechanical MITRAL valve is a high thrombotic-risk prosthesis. For surgery that cannot be done on anticoagulation, warfarin is stopped ~5 days before (allowing the INR to fall) and the patient is 'bridged' with therapeutic-dose LMWH, stopped ~24 hours pre-operatively and restarted post-operatively until the INR is therapeutic again. This minimises the window of inadequate anticoagulation.",Omitting bridging is acceptable only for lower-risk prostheses (e.g. a bileaflet mechanical aortic valve with no other risk factors); a mechanical mitral valve is too high-risk.,,Continuing warfarin through major surgery risks uncontrollable bleeding.,"DOACs are contraindicated in mechanical heart valves (RE-ALIGN showed harm), so switching to one is unsafe."
14,Cardiology,1,Electrical alternans on ECG (alternating QRS amplitude) is most characteristic of which condition?,Large pericardial effusion,Pulmonary hypertension,Atrial flutter,Bundle branch block,A,Electrical alternans — a beat-to-beat alternation in QRS amplitude — reflects the heart swinging within a large pericardial effusion. Combined with sinus tachycardia and low QRS voltages it strongly suggests tamponade physiology. It is an important ECG clue to urgent echocardiography and possible pericardiocentesis.,,"Pulmonary hypertension produces right-axis deviation, right-ventricular hypertrophy and P pulmonale, not electrical alternans.",Atrial flutter shows sawtooth flutter waves; the QRS amplitude is not the alternating feature.,"Bundle-branch block gives a fixed wide QRS morphology, not alternating amplitude."
15,Cardiology,1,"A 45-year-old man has a blood pressure of 180/50 mmHg, a collapsing pulse, and an early diastolic murmur at the left sternal edge. What is the most likely diagnosis?",Aortic stenosis,Aortic regurgitation,Mitral stenosis,Patent ductus arteriosus,B,"A wide pulse pressure (180/50), a collapsing/water-hammer pulse and an early-diastolic murmur at the left sternal edge are the classic findings of chronic aortic regurgitation. The large stroke volume and rapid diastolic run-off back into the LV explain the bounding pulse and peripheral signs (Corrigan's, Quincke's, de Musset's). Echocardiography quantifies severity and LV size to time surgery.",Aortic stenosis gives a narrow pulse pressure and a slow-rising pulse with an ejection-systolic (not early-diastolic) murmur.,,"Mitral stenosis causes a mid-diastolic rumble at the apex with a tapping apex beat, not an early-diastolic murmur or collapsing pulse.","A PDA produces a continuous 'machinery' murmur, not an isolated early-diastolic murmur."
16,Cardiology,2,A 58-year-old diabetic man presents with an acute STEMI. Primary PCI is not available within 120 minutes. Door time is 0 minutes. What is the recommended reperfusion strategy?,Transfer for PCI regardless of time,Thrombolysis within 30 minutes,Conservative management with anticoagulation,Thrombolysis only if symptom onset <3 hours,B,"In STEMI, if primary PCI cannot be delivered within 120 minutes of diagnosis, fibrinolysis should be given promptly — within 30 minutes of first medical contact (door-to-needle) — followed by transfer to a PCI centre. Rescue PCI is indicated if reperfusion fails, and routine early angiography follows successful lysis. Rapid reperfusion by whichever route is fastest limits infarct size and mortality.",Transferring for PCI 'regardless of time' would exceed the 120-minute window and dangerously delay reperfusion when lysis is available.,,Conservative anticoagulation alone fails to reperfuse an occluded artery and is not appropriate for STEMI.,"Fibrinolysis is not restricted to <3 hours — it retains benefit up to 12 hours from symptom onset, greatest when given early."
17,Cardiology,1,Which inherited condition is associated with a prolonged QT interval on resting ECG?,Brugada syndrome,Romano-Ward syndrome,Lev-Lenegre disease,Wolff-Parkinson-White syndrome,B,"Romano–Ward syndrome is the classic autosomal-dominant congenital long-QT syndrome, caused by mutations in cardiac ion-channel genes (e.g. KCNQ1, KCNH2, SCN5A). Prolonged repolarisation predisposes to torsades de pointes, syncope and sudden death, often triggered by exertion, emotion or startle. Management includes beta-blockers and, in high-risk cases, an ICD.","Brugada syndrome causes coved ST elevation in V1–V3 with a normal or short QT, not QT prolongation.",,"Lev–Lenègre disease is progressive conduction-system fibrosis causing heart block, not long QT.","WPW is a pre-excitation (short PR, delta wave) syndrome, unrelated to QT prolongation."
18,Cardiology,2,"A patient with dilated cardiomyopathy and LBBB (QRS 160ms), EF 25%, remains symptomatic (NYHA III) despite optimal medical therapy. What device therapy is most appropriate?",Single chamber ICD,Dual chamber pacemaker,Cardiac resynchronisation therapy with defibrillator (CRT-D),Subcutaneous ICD,C,"This patient meets the criteria for cardiac resynchronisation therapy: symptomatic HFrEF (NYHA III) on optimal medical therapy, EF ≤35%, and left-bundle-branch block with a broad QRS (≥150 ms). Biventricular pacing corrects the electromechanical dyssynchrony of LBBB, improving symptoms, EF and survival, while the defibrillator (CRT-D) adds protection against sudden arrhythmic death.",A single-chamber ICD protects against sudden death but does nothing to correct the dyssynchrony causing symptoms in a patient with LBBB.,A dual-chamber pacemaker paces the RV only and does not resynchronise the ventricles; it may even worsen dyssynchrony.,,"A subcutaneous ICD cannot provide pacing or resynchronisation, so it misses the main therapeutic need here."
19,Cardiology,1,A young athlete collapses during exercise. Post-mortem reveals anomalous origin of the left coronary artery from the right coronary sinus. This is an example of:,Acquired coronary artery disease,Congenital coronary artery anomaly,Kawasaki disease sequela,Coronary artery dissection,B,"An anomalous coronary origin — here the left coronary arising from the right sinus and coursing between the aorta and pulmonary trunk — is a congenital coronary artery anomaly. During exercise the great vessels expand and compress the interarterial segment, causing ischaemia and sudden death in young athletes. It is a leading cause of exercise-related sudden cardiac death and is diagnosed with CT/MR coronary imaging.","Acquired atherosclerotic disease is a disease of older adults with risk factors, not a structural anomaly present from birth.",,"Kawasaki disease causes acquired coronary aneurysms in childhood, a different mechanism from an anomalous origin.","Spontaneous coronary dissection is an acquired acute event (often in young women), not a congenital origin anomaly."
20,Cardiology,1,A patient with Marfan syndrome is most at risk of which cardiac complication?,Mitral stenosis,Aortic root dilatation and dissection,Ventricular septal defect,Coarctation of the aorta,B,"Marfan syndrome (FBN1 fibrillin-1 mutation) weakens the aortic media (cystic medial degeneration), predisposing to progressive aortic-root dilatation and type A dissection — the major cause of mortality. Surveillance echocardiography and prophylactic root replacement at defined diameters, together with beta-blockers/ARBs to reduce aortic wall stress, are central to management. Mitral-valve prolapse is also common.",Mitral STENOSIS is rheumatic in origin and not a feature of Marfan (mitral prolapse/regurgitation is the Marfan association).,,A VSD is a septation defect unrelated to the connective-tissue pathology of Marfan.,"Coarctation is associated with Turner syndrome and bicuspid aortic valve, not Marfan."
21,Cardiology,2,A 68-year-old woman develops acute pulmonary oedema 3 days after an anterior MI. Examination reveals a new loud pansystolic murmur with a thrill at the left sternal edge. What is the most likely complication?,Acute mitral regurgitation,Ventricular septal rupture,Free wall rupture,Dressler syndrome,B,"A new, loud pansystolic murmur with a palpable thrill at the LEFT STERNAL EDGE developing a few days after an anterior MI points to acquired ventricular septal rupture. The infarcted septum tears, creating a left-to-right shunt that precipitates pulmonary oedema and cardiogenic shock. Diagnosis is by echocardiography; management is stabilisation and urgent surgical/percutaneous closure.","Acute mitral regurgitation (papillary muscle rupture) also causes pulmonary oedema but the murmur is loudest at the APEX and radiates to the axilla, often without a thrill.",,"Free-wall rupture causes tamponade and electromechanical dissociation/sudden collapse, not a loud shunt murmur.","Dressler syndrome is a late (weeks) autoimmune pericarditis with pericardial rub, not an early loud pansystolic murmur."
22,Cardiology,1,Which of the following conditions causes a fixed split second heart sound?,Right bundle branch block,Atrial septal defect,Pulmonary stenosis,Aortic stenosis,B,"A FIXED split second heart sound — splitting that does not vary with respiration — is characteristic of an atrial septal defect. The inter-atrial communication equalises right- and left-sided filling across the respiratory cycle, so the pulmonary component stays delayed regardless of breathing. It is often accompanied by a pulmonary flow murmur from increased right-heart flow.","RBBB causes WIDE but still respiration-variable splitting, not fixed splitting.",,"Pulmonary stenosis causes wide splitting that widens further on inspiration (variable), not fixed.",Aortic stenosis can cause PARADOXICAL (reversed) splitting that disappears on inspiration — the opposite pattern.
23,Cardiology,2,A 50-year-old man with known stable angina develops rest pain. Troponin is mildly elevated. ECG shows ST depression in V4-V6. His GRACE score is 145. What is the recommended timing for angiography?,Immediate (<2 hours),Early invasive (<24 hours),Within 72 hours,Conservative management with stress testing,B,"A GRACE score above 140 identifies a high-risk NSTEMI (raised troponin, dynamic ST depression). Guidelines recommend an early invasive strategy with coronary angiography within 24 hours, as this improves outcomes compared with delayed intervention. Immediate (<2 h) angiography is reserved for instability or refractory ischaemia; lower-risk patients can wait longer.","Immediate (<2 h) angiography is for haemodynamic/electrical instability, ongoing chest pain despite treatment, or mechanical complications — not for a stable high-risk NSTEMI.",,Angiography within 72 hours is the intermediate-risk pathway; a GRACE >140 warrants earlier (<24 h) intervention.,"A purely conservative, non-invasive approach is inappropriate for a troponin-positive high-risk NSTEMI."
24,Cardiology,1,Kussmaul sign (paradoxical rise in JVP on inspiration) is most classically associated with:,Cardiac tamponade,Constrictive pericarditis,Tension pneumothorax,Pulmonary embolism,B,"Kussmaul's sign — a paradoxical RISE in JVP on inspiration — reflects a right heart that cannot accommodate increased venous return. It is most classically seen in constrictive pericarditis (rigid pericardium), and also in restrictive cardiomyopathy, severe right heart failure and RV infarction. It helps distinguish constriction from simple tamponade at the bedside.",Classic cardiac tamponade produces pulsus paradoxus rather than Kussmaul's sign; the JVP usually falls or is blunted on inspiration.,,"Tension pneumothorax causes obstructive shock with tracheal deviation and absent breath sounds, not Kussmaul's sign.",Acute PE causes right-heart strain and raised JVP but is not the classic cause of Kussmaul's sign.
25,Cardiology,2,A 40-year-old woman presents with paroxysmal SVT. Adenosine terminates the arrhythmia. She wants definitive treatment. What is the most appropriate option?,Long-term flecainide,Catheter ablation of accessory pathway,Permanent pacemaker,Long-term amiodarone,B,"For recurrent paroxysmal SVT due to AV-nodal re-entry or an accessory pathway (AVRT), catheter ablation offers a definitive cure with success rates over 95% and low complication risk. It removes the arrhythmic substrate, avoids lifelong drug therapy and is the preferred definitive treatment in a patient seeking a permanent solution.","Long-term flecainide suppresses episodes but is not curative and carries pro-arrhythmic risk, especially with structural heart disease.",,"A permanent pacemaker treats bradycardia, not a re-entrant tachycardia, so it is inappropriate.",Long-term amiodarone is avoided for a young patient with a curable arrhythmia because of its cumulative organ toxicity.
26,Respiratory,1,A 65-year-old smoker presents with haemoptysis and weight loss. CXR shows a hilar mass with collapse of the right upper lobe. Which lung cancer type is most likely?,Adenocarcinoma,Squamous cell carcinoma,Small cell carcinoma,Large cell carcinoma,B,"A central (hilar) mass causing lobar collapse with haemoptysis in a smoker is most typical of SQUAMOUS CELL carcinoma, which arises centrally in the large airways and is strongly smoking-related; it can obstruct a bronchus and cause distal collapse, and may secrete PTHrP (hypercalcaemia). Adenocarcinoma is more often peripheral.",Adenocarcinoma is usually PERIPHERAL and is the commonest type in non-smokers.,,Small-cell carcinoma is central and smoking-related but is characterised by rapid growth and early metastasis/paraneoplastic syndromes rather than this obstructing squamous picture.,"Large-cell carcinoma is a less common, often peripheral, poorly differentiated tumour."
27,Respiratory,1,"A patient with asthma has an FEV1/FVC ratio of 0.65 and FEV1 55% predicted. After salbutamol, FEV1 improves by 15% and 250ml. This demonstrates:",Fixed airflow obstruction,Restrictive pattern,Significant bronchodilator reversibility,Normal spirometry,C,"An FEV1 improvement of ≥12% AND ≥200 mL after a bronchodilator defines significant reversibility; this patient (15% and 250 mL) meets both thresholds, supporting asthma. Demonstrating reversible airflow obstruction is a key part of the diagnostic work-up.","Fixed airflow obstruction would show little/no bronchodilator response, unlike the significant improvement here.","A restrictive pattern shows a reduced FVC with a PRESERVED/raised FEV1/FVC ratio, not the obstructive ratio (0.65) seen here.",,Spirometry is not normal — the ratio is reduced (obstruction) with significant reversibility.
28,Respiratory,2,A 55-year-old man with COPD (FEV1 35% predicted) has had 3 exacerbations in the past year despite LABA/ICS. Eosinophils are 350 cells/μL. What should be added?,Oral theophylline,Long-acting muscarinic antagonist (LAMA),Oral prednisolone maintenance,Prophylactic azithromycin,B,"In COPD with frequent exacerbations on LABA/ICS, guidelines recommend adding a LONG-ACTING MUSCARINIC ANTAGONIST to create triple therapy (LABA/LAMA/ICS); the raised blood eosinophils (350 cells/µL) support continuing the inhaled steroid. If exacerbations persist on triple therapy, prophylactic azithromycin is considered.",Theophylline is a later add-on with a narrow therapeutic index and is not the preferred next step.,,Maintenance oral prednisolone is avoided in stable COPD because of systemic toxicity.,Azithromycin prophylaxis is reserved for those still exacerbating DESPITE optimised (triple) inhaled therapy.
29,Respiratory,1,Which antibody is most specifically associated with Goodpasture syndrome?,Anti-nuclear antibody (ANA),Anti-glomerular basement membrane (anti-GBM),c-ANCA (anti-PR3),Anti-dsDNA,B,"Goodpasture syndrome (anti-GBM disease) is caused by ANTI-GLOMERULAR BASEMENT MEMBRANE antibodies against type-IV collagen in glomerular and alveolar basement membranes, producing rapidly progressive glomerulonephritis and pulmonary haemorrhage. Treatment is plasma exchange with immunosuppression.","ANA is a marker of SLE/connective-tissue disease, not specific for anti-GBM disease.",,"c-ANCA (anti-PR3) indicates granulomatosis with polyangiitis, a different pulmonary–renal syndrome.","Anti-dsDNA is specific for SLE, not Goodpasture's."
30,Respiratory,1,A patient with suspected pulmonary embolism has a Wells score of 6. D-dimer is elevated. What is the most appropriate next investigation?,Ventilation-perfusion scan,CT pulmonary angiography,Pulmonary angiography,Repeat D-dimer in 24 hours,B,"A Wells score ≥5 makes pulmonary embolism 'likely', and the definitive investigation is CT PULMONARY ANGIOGRAPHY, which directly demonstrates thrombus. D-dimer is used to EXCLUDE PE in low-probability patients and adds little when probability is high, so imaging should proceed straight to CTPA.","A V/Q scan is an alternative when CTPA is contraindicated (e.g. contrast allergy, pregnancy), not the first choice here.",,Conventional pulmonary angiography is invasive and now rarely used.,Repeating the D-dimer does not image the pulmonary arteries and would delay diagnosis in a high-probability patient.
31,Respiratory,2,A 45-year-old woman presents with progressive dyspnoea. HRCT shows bilateral ground-glass opacification with a crazy-paving pattern. BAL shows milky fluid positive for PAS staining. What is the diagnosis?,Pulmonary alveolar proteinosis,Hypersensitivity pneumonitis,Sarcoidosis,Cryptogenic organising pneumonia,A,"Progressive dyspnoea with a 'crazy-paving' pattern on HRCT and MILKY, PAS-POSITIVE bronchoalveolar lavage fluid is pulmonary alveolar proteinosis — accumulation of surfactant-derived lipoproteinaceous material in the alveoli, usually due to anti-GM-CSF antibodies. Whole-lung lavage is the main treatment.",,"Hypersensitivity pneumonitis shows centrilobular nodules/mosaic attenuation and a lymphocytic lavage, not milky PAS-positive fluid.","Sarcoidosis causes lymphadenopathy and upper-zone nodularity with non-caseating granulomata, not PAS-positive milky lavage.","Cryptogenic organising pneumonia shows patchy consolidation, not crazy-paving with proteinaceous lavage."
32,Respiratory,1,A CXR shows bilateral hilar lymphadenopathy in an asymptomatic 30-year-old woman. Serum ACE is elevated. What is the most likely diagnosis?,Lymphoma,Sarcoidosis,Tuberculosis,Lung cancer,B,"Bilateral hilar lymphadenopathy with a raised serum ACE in an otherwise well young adult is classic for SARCOIDOSIS (radiographic stage I). Stage-I disease has an excellent prognosis, with spontaneous resolution in the great majority, so observation is often appropriate.","Lymphoma usually causes asymmetrical/mediastinal nodes with systemic 'B' symptoms, not the symmetrical BHL with raised ACE typical of sarcoid.",,"TB usually causes UNILATERAL hilar nodes with parenchymal change, not symmetrical BHL with raised ACE.","Lung cancer typically presents with a mass and unilateral nodal disease, not asymptomatic bilateral hilar nodes in a young woman."
33,Respiratory,1,"A patient develops respiratory failure. ABG shows: pH 7.25, PaCO2 8.5 kPa, PaO2 7.0 kPa, HCO3 28 mmol/L. What is the acid-base disturbance?",Acute respiratory acidosis,Chronic respiratory acidosis with acute decompensation,Metabolic acidosis,Mixed respiratory and metabolic acidosis,B,"The ABG shows a raised PaCO₂ with a RAISED bicarbonate (metabolic compensation implying chronicity) but a still-LOW pH — i.e. chronic respiratory acidosis with acute decompensation (acute-on-chronic type-2 respiratory failure). The retained bicarbonate signals a long-standing process, while the acidaemia shows incomplete compensation from an acute deterioration.","A purely ACUTE respiratory acidosis would have a NORMAL bicarbonate (no time to compensate), unlike the raised HCO₃ here.",,"A metabolic acidosis would show a LOW bicarbonate, the opposite of this.","A mixed respiratory and metabolic ACIDOSIS would show a low bicarbonate; here bicarbonate is high (compensation), so it is acute-on-chronic respiratory acidosis."
34,Respiratory,2,A patient with idiopathic pulmonary fibrosis (IPF) has FVC 68% predicted and DLCO 45% predicted. Which treatment has been shown to slow disease progression?,Prednisolone,Mycophenolate mofetil,Pirfenidone,Cyclophosphamide,C,"In idiopathic pulmonary fibrosis, the ANTI-FIBROTIC agents PIRFENIDONE and nintedanib slow the decline in FVC and are the licensed disease-modifying treatments. Immunosuppression is NOT indicated and can be harmful in IPF (the PANTHER-IPF trial showed increased harm with prednisolone/azathioprine/N-acetylcysteine).",Prednisolone does not slow IPF and combined immunosuppression is harmful.,Mycophenolate is used in some fibrotic connective-tissue disease but not to slow IPF.,,Cyclophosphamide is not indicated in IPF and carries significant toxicity.
35,Respiratory,1,"A patient on mechanical ventilation develops sudden hypotension, absent breath sounds on the right, and tracheal deviation to the left. What is the immediate management?",Chest X-ray,CT thorax,Needle decompression of right chest,Increase ventilator pressure,C,"Sudden hypotension with ABSENT breath sounds on one side and CONTRALATERAL tracheal deviation in a ventilated patient is a TENSION PNEUMOTHORAX — a clinical diagnosis and immediate emergency. Treatment is NEEDLE DECOMPRESSION of the affected side without waiting for imaging, followed by a chest drain.",A chest X-ray dangerously delays treatment of a clinically evident tension pneumothorax.,CT thorax is far too slow for this immediately life-threatening emergency.,,Increasing ventilator pressure would worsen the tension pneumothorax.
